	file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxaname_alternative	Taxa_NCBI	Taxa_Assigment	ReDU_Availability	Blank	QC	Feature
0	mzspec:MSV000090016:017_Mbovis_BCG_stat_phase__PL	0.0	mzspec:MSV000090016:peak/XGLab_M. bovis BCG Growth Phase/PL/017_Mbovis_BCG_stat_phase__PL.mzML:scan:4294967295	1	0.93	5	MSV000090016	NoID	MSV000090016/peak/XGLab_M. bovis BCG Growth Phase/PL/017_Mbovis_BCG_stat_phase__PL.mzML	MSV000090016/017_Mbovis_BCG_stat_phase__PL.mzML	MSV000090016	Mycobacterium bovis BCG	Mycobacterium bovis BCG	316407	manual	No	No	No	ft2834
1	mzspec:MSV000090016:016_Mbovis_BCG_log_phase__PL	0.0	mzspec:MSV000090016:peak/XGLab_M. bovis BCG Growth Phase/PL/016_Mbovis_BCG_log_phase__PL.mzML:scan:4294967295	1	0.93	5	MSV000090016	NoID	MSV000090016/peak/XGLab_M. bovis BCG Growth Phase/PL/016_Mbovis_BCG_log_phase__PL.mzML	MSV000090016/016_Mbovis_BCG_log_phase__PL.mzML	MSV000090016	Mycobacterium bovis BCG	Mycobacterium bovis BCG	316407	manual	No	No	No	ft2834
2	mzspec:MSV000081049:OMICS_ICL104_Mock_12hr_5_PLipid_066_NEG_150mm_19Feb16_Polaroid_HSST3-02	0.0	mzspec:MSV000081049:peak/Peak_List_Files/OMICS_ICL104_Mock_12hr_5_PLipid_066_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML:scan:4433	1	0.91	6	MSV000081049	NoID	MSV000081049/ccms_peak/Peak_List_Files/OMICS_ICL104_Mock_12hr_5_PLipid_066_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049/OMICS_ICL104_Mock_12hr_5_PLipid_066_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049	Homo sapiens		9606	automatic	No	No	No	ft2834
3	mzspec:MSV000089983:220721_HG220720_2Ra_neg	0.01	mzspec:MSV000089983:peak/mzML/220721_HG220720_2Ra_neg.mzML:scan:8155	1	0.91	5	MSV000089983	NoID	MSV000089983/peak/mzML/220721_HG220720_2Ra_neg.mzML	MSV000089983/220721_HG220720_2Ra_neg.mzML	MSV000089983	Mycobacterium tuberculosis H37Ra ATCC 25177		419947	automatic	No	No	No	ft2834
4	mzspec:MSV000081049:OMICS_ICL104_Cal04_24hr_4_PLipid_060_NEG_150mm_19Feb16_Polaroid_HSST3-02	-0.0	mzspec:MSV000081049:ccms_peak/Peak_List_Files/OMICS_ICL104_Cal04_24hr_4_PLipid_060_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML:scan:4378	1	0.9	6	MSV000081049	NoID	MSV000081049/ccms_peak/Peak_List_Files/OMICS_ICL104_Cal04_24hr_4_PLipid_060_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049/OMICS_ICL104_Cal04_24hr_4_PLipid_060_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049	Homo sapiens		9606	automatic	No	No	No	ft2834
5	mzspec:MSV000081049:OMICS_ICL104_Mock_12hr_3_PLipid_063_NEG_150mm_19Feb16_Polaroid_HSST3-02	-0.0	mzspec:MSV000081049:peak/Peak_List_Files/OMICS_ICL104_Mock_12hr_3_PLipid_063_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML:scan:4397	1	0.9	6	MSV000081049	NoID	MSV000081049/ccms_peak/Peak_List_Files/OMICS_ICL104_Mock_12hr_3_PLipid_063_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049/OMICS_ICL104_Mock_12hr_3_PLipid_063_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049	Homo sapiens		9606	automatic	No	No	No	ft2834
6	mzspec:MSV000090021:042_Glucose 1	0.0	mzspec:MSV000090021:peak/XGLab_M. bovis BCG Csource_PL/042_Glucose 1.mzML:scan:4294967295	1	0.89	4	MSV000090021	NoID	MSV000090021/peak/XGLab_M. bovis BCG Csource_PL/042_Glucose 1.mzML	MSV000090021/042_Glucose 1.mzML	MSV000090021	Mycobacterium bovis BCG	Mycobacterium bovis BCG	316407	manual	No	No	No	ft2834
7	mzspec:MSV000081045:OMICS_MCL002_MOCK_24HRS_A_LIPID_095_NEG_19Apr16_Legolas_HSS-T3_A925	0.0	mzspec:MSV000081045:ccms_peak/Peak_List_Files/OMICS_MCL002_MOCK_24HRS_A_LIPID_095_NEG_19Apr16_Legolas_HSS-T3_A925.mzML:scan:4497	1	0.88	7	MSV000081045	NoID	MSV000081045/ccms_peak/Peak_List_Files/OMICS_MCL002_MOCK_24HRS_A_LIPID_095_NEG_19Apr16_Legolas_HSS-T3_A925.mzML	MSV000081045/OMICS_MCL002_MOCK_24HRS_A_LIPID_095_NEG_19Apr16_Legolas_HSS-T3_A925.mzML	MSV000081045	Homo sapiens		9606	automatic	No	No	No	ft2834
8	mzspec:MSV000081049:OMICS_ICL104_Mock_12hr_4_PLipid_069_NEG_150mm_19Feb16_Polaroid_HSST3-02	0.0	mzspec:MSV000081049:peak/Peak_List_Files/OMICS_ICL104_Mock_12hr_4_PLipid_069_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML:scan:4454	1	0.88	5	MSV000081049	NoID	MSV000081049/ccms_peak/Peak_List_Files/OMICS_ICL104_Mock_12hr_4_PLipid_069_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049/OMICS_ICL104_Mock_12hr_4_PLipid_069_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049	Homo sapiens		9606	automatic	No	No	No	ft2834
9	mzspec:MSV000090021:050_0.005pc Oleate 1	0.0	mzspec:MSV000090021:peak/XGLab_M. bovis BCG Csource_PL/050_0.005pc Oleate 1.mzML:scan:4294967295	1	0.88	4	MSV000090021	NoID	MSV000090021/peak/XGLab_M. bovis BCG Csource_PL/050_0.005pc Oleate 1.mzML	MSV000090021/050_0.005pc Oleate 1.mzML	MSV000090021	Mycobacterium bovis BCG	Mycobacterium bovis BCG	316407	manual	No	No	No	ft2834
10	mzspec:MSV000089983:220721_HG220720_2go_neg	0.01	mzspec:MSV000089983:peak/mzML/220721_HG220720_2go_neg.mzML:scan:8320	1	0.88	4	MSV000089983	NoID	MSV000089983/peak/mzML/220721_HG220720_2go_neg.mzML	MSV000089983/220721_HG220720_2go_neg.mzML	MSV000089983	Mycobacterium gordonae ATCC 14470		1778	automatic	Yes	No	No	ft2834
11	mzspec:MSV000081049:OMICS_ICL104_Mock_7hr_5_PLipid_067_NEG_150mm_19Feb16_Polaroid_HSST3-02	0.0	mzspec:MSV000081049:ccms_peak/Peak_List_Files/OMICS_ICL104_Mock_7hr_5_PLipid_067_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML:scan:4382	1	0.87	7	MSV000081049	NoID	MSV000081049/ccms_peak/Peak_List_Files/OMICS_ICL104_Mock_7hr_5_PLipid_067_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049/OMICS_ICL104_Mock_7hr_5_PLipid_067_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049	Homo sapiens		9606	automatic	No	No	No	ft2834
12	mzspec:MSV000081049:OMICS_ICL104_Mock_7hr_1_PLipid_044_NEG_150mm_19Feb16_Polaroid_HSST3-02	-0.0	mzspec:MSV000081049:peak/Peak_List_Files/OMICS_ICL104_Mock_7hr_1_PLipid_044_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML:scan:4298	1	0.86	5	MSV000081049	NoID	MSV000081049/ccms_peak/Peak_List_Files/OMICS_ICL104_Mock_7hr_1_PLipid_044_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049/OMICS_ICL104_Mock_7hr_1_PLipid_044_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049	Homo sapiens		9606	automatic	No	No	No	ft2834
13	mzspec:MSV000081049:OMICS_ICL104_Cal04_0hr_2_PLipid_054_NEG_150mm_19Feb16_Polaroid_HSST3-02	0.0	mzspec:MSV000081049:peak/Peak_List_Files/OMICS_ICL104_Cal04_0hr_2_PLipid_054_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML:scan:4402	1	0.86	4	MSV000081049	NoID	MSV000081049/ccms_peak/Peak_List_Files/OMICS_ICL104_Cal04_0hr_2_PLipid_054_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049/OMICS_ICL104_Cal04_0hr_2_PLipid_054_NEG_150mm_19Feb16_Polaroid_HSST3-02.mzML	MSV000081049	Homo sapiens		9606	automatic	No	No	No	ft2834
14	mzspec:MSV000081049:OMICS_ICL104_Cal04_48hr_2_PLipid_035_NEG_150mm_16Feb16_Polaroid_HSST3-02	0.0	mzspec:MSV000081049:ccms_peak/Peak_List_Files/OMICS_ICL104_Cal04_48hr_2_PLipid_035_NEG_150mm_16Feb16_Polaroid_HSST3-02.mzML:scan:4350	1	0.85	4	MSV000081049	NoID	MSV000081049/ccms_peak/Peak_List_Files/OMICS_ICL104_Cal04_48hr_2_PLipid_035_NEG_150mm_16Feb16_Polaroid_HSST3-02.mzML	MSV000081049/OMICS_ICL104_Cal04_48hr_2_PLipid_035_NEG_150mm_16Feb16_Polaroid_HSST3-02.mzML	MSV000081049	Homo sapiens		9606	automatic	No	No	No	ft2834
